;Name;Datum;Datum;Website .at;Website.kz;Info;Sprache 1;Sprache 2;Sprache 3;Infogehalt;kulturelle Adaption;Umschalten;Schewe;Lockwood;Singh/Pereira
33;pewag austria GmbH;19.11.16;12.04.17;http://www.pewag.com/;http://www.pewag.ru/;;Russisch;Englisch;;"pewag "select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D0%B7%D0%B8%D1%8F.aspx""ewag "select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D0%B7%D0%B8%D1%8""wag "select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D0%B7%D0%B8""ag "select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D0%B7%D""g "select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D0%B"" "select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D0"""select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D""select your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%D0%B0%D1%8F-%D0%90%D""elect your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0%D0%BB%D1%8C%D0%BD%""lect your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD%D1%82%D1%80%D0%B0""ect your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%D0%A6%D0%B5%D0%BD""ct your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD-%D0%B8-%""t your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B"" your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D""your language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9A%D0%B0%D0%B7""our language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/Kontakt/%D0%9""ur language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www.pewag.ru/K""r language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; http://www"" language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naja azija; ""language" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zentral'naj""anguage" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachstan i Zen""nguage" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kasachsta""guage" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet; Kas""uage" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbreitet""age" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr verbre""ge" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr ver""e" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr v""" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr "" normalerweise; pewag Italia, pewag Rossiaja; etc. Aber pewag Schweiz mit Unterpunkten German French; Sprachbewusstsein ist da, aber noch nicht sehr ";;;3c;3;4
34;Posch & Partners Consulting Engineers;19.11.16;12.04.17;http://www.pap.co.at/;http://www.pap.co.at/index.php?id=1&L=2;;Russisch;Deutsch;Englisch;"oben ein Reiter, nur mit Englisch / Deutsch / Russkij; alle Inhalte gut befüllt, auch gut übersetzt; ";;;3c;1;2
35;Raiffeisen-Leasing International;19.11.16;12.04.17;http://www.rli.co.at/eBusiness/01_template1/875309190887919973-NA-NA-NA-1-NA.html;http://www.rlkz.at/;;Russisch;Englisch;;früher war noch kasachscih angelegt, aber toter link;;under rekonstruktion;X;X;X
36;RSP International;19.11.16;12.04.17;http://www.rsp-i.info/;http://www.rsp-i.info/home-ru;;Russisch;Deutsch;Englisch;"alle aber under construction, russisch geht nix; coming soon sthet";;;3c;1;1
37;Norbert Schaller GmbH;19.11.16;12.04.17;insolvent;;;;;;;;;X;X;X
38;Plasser & Theurer Export von Bahnbaumaschinen;19.11.16;12.04.17;https://www.plassertheurer.com/de/kontakt/europa.html;;;;;;ned erkennbar ;;gar nix Osten mehr!!!;3c X;X 1;X 2
39;STRABAG AG;19.11.16;12.04.17;http://www.strabag.at;http://www.strabag.com/databases/internet/_public/content.nsf/web/DE-STRABAG.COM-russland.html#?men1=3&sid=300&h=4;;;;;vllt nicht mehr in kasachstan aktiv?;;;2b;3;5 (aber ned kz?)
40;Symrise Vertriebs GmbH;19.11.16;12.04.17;;https://www.symrise.com/company/organization/global-locations/;;Englisch;Deutsch;;;;;2b;1;2
41;Takeda Austria GmbH;19.11.16;12.04.17;http://www.takeda.at/;http://www.takeda.kz/;;Russsisch;;;"auch kein Umschalten auf Englisch; auf anderen Länderseiten (Kanada) ist ein Umschalten möglich, in Usbekistan zb. Auch auf Englisch";;;1a;3;5
42;Trodat GmbH;19.11.16;12.04.17;http://www.trodat.de/de-DE/Pages/Home.aspx;http://www.trodat.kz/;;Russisch;;;sogar Navruz Angebote, sehr gut gemacht;Paradebeispiel;;1a;3;5
43;VA Intertrading AG;19.11.16;12.04.17;http://www.vait.com/;http://www.vait.com/en/offices/kazakhstan/;;Deutsch;Englisch;;Kontaktdaten für Office in Kasachstan;echt basic infos nur;;2b;1;2
44;Wabco Austria GmbH;19.11.16;12.04.17;http://www.wabco-auto.com/wabco/;http://www.wabco-auto.com/ru/wabco/;;Deutsch;Russisch;Englisch;;;;3c;2;4
